21st Century Fox negocia vender el grupo a Disney;http://www.elmundo.es/television/2017/11/06/5a00b6b922601d21438b45a6.html;06/11/2017;EFE;EL MUNDO
Muere otra persona en el incendio de un piso en Barcelona;http://www.elmundo.es/cataluna/2017/11/06/5a00baa2e5fdea1f4a8b45a4.html;06/11/2017;EFE;EL MUNDO
Cataluña y Madrid, las que más aportan a la imagen española;http://www.elmundo.es/espana/2017/11/06/5a00608b468aebee4f8b45b0.html;06/11/2017;FRANCISCO J. GALLARDO;EL MUNDO
Liberado el acusado por la muerte de un bebé en Torroella;http://www.elmundo.es/cataluna/2017/11/06/5a0092c7468aebcd1f8b45f0.html;06/11/2017;EUROPA PRESS;EL MUNDO
DEL 'PROCÉS' CATALÁN Y LOS BALCANES;http://www.elmundo.es/opinion/2017/11/06/59ff34b0e5fdeaec488b45cd.html;06/11/2017;BORJA LASHERAS;EL MUNDO
"Los independentistas usaron fabulaciones y lepra retórica para enloquecer a la gente";http://www.elmundo.es/opinion/2017/11/06/59ff544246163fa23b8b45a6.html;06/11/2017;RAÚL DEL POZO;EL MUNDO
"La independencia no es la meta, sino el camino; no es un objetivo, es un negocio";http://www.elmundo.es/blogs/elmundo/elblogdesantiagogonzalez/2017/11/06/un-bon-negoci.html;06/11/2017;SANTIAGO GONZÁLEZ;EL MUNDO
"Alguna gallina, mientras, se ha hecho catalana y ha anidado en Bruselas";http://www.elmundo.es/opinion/2017/11/06/59ff32d3e5fdea49418b45c9.html;06/11/2017;BERTA GONZÁLEZ DE VEGA;EL MUNDO
La camiseta de España para el Mundial... ¿con la bandera republicana?;http://www.elmundo.es/deportes/futbol/2017/11/06/5a002db3268e3e7c1d8b45eb.html;06/11/2017;EL MUNDO;EL MUNDO
Hamilton evadió impuestos en la compra de su jet;http://www.elmundo.es/deportes/formula-1/2017/11/06/5a00c9cbe5fdea72278b45bb.html;06/11/2017;ALBERTO MUÑOZ;EL MUNDO
El plan oculto del Barcelona;http://www.elmundo.es/deportes/futbol/2017/11/06/59ff5bc1468aeb93218b464f.html;06/11/2017;FRANCISCO CABEZAS;EL MUNDO
El adiós de Pirlo tras dos décadas iluminando el fútbol;http://www.elmundo.es/deportes/futbol/2017/11/06/5a00af1422601d95238b45ba.html;06/11/2017;AGENCIAS;EL MUNDO
Muere Rivilla, célebre defensa del Atlético y campeón de la Eurocopa;http://www.elmundo.es/deportes/futbol/2017/11/06/5a00c78cca47414b638b4601.html;06/11/2017;EL MUNDO;EL MUNDO
Domantas, el hijo de Sabonis que triunfa con acento andaluz;http://www.elmundo.es/deportes/baloncesto/2017/11/06/59ff9120ca47411b738b464a.html;06/11/2017;LUCAS SÁEZ-BRAVO;EL MUNDO
